"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2012","Denmark","Composting and digestion","Kilograms per capita","130",""
"2013","Denmark","Composting and digestion","Kilograms per capita","136",""
"2014","Denmark","Composting and digestion","Kilograms per capita","144",""
"2015","Denmark","Composting and digestion","Kilograms per capita","150",""
"2005","Estonia","Composting and digestion","Kilograms per capita","8",""
"2006","Estonia","Composting and digestion","Kilograms per capita","17",""
"2007","Estonia","Composting and digestion","Kilograms per capita","13",""
"2008","Estonia","Composting and digestion","Kilograms per capita","21",""
"2009","Estonia","Composting and digestion","Kilograms per capita","32",""
"2010","Estonia","Composting and digestion","Kilograms per capita","24",""
"2011","Estonia","Composting and digestion","Kilograms per capita","27",""
"2012","Estonia","Composting and digestion","Kilograms per capita","14",""
"2013","Estonia","Composting and digestion","Kilograms per capita","15",""
"2014","Estonia","Composting and digestion","Kilograms per capita","17",""
"2015","Estonia","Composting and digestion","Kilograms per capita","13",""
"2005","Greece","Composting and digestion","Kilograms per capita","3",""
"2006","Greece","Composting and digestion","Kilograms per capita","7",""
"2007","Greece","Composting and digestion","Kilograms per capita","9",""
"2008","Greece","Composting and digestion","Kilograms per capita","9",""
"2009","Greece","Composting and digestion","Kilograms per capita","3",""
"2010","Greece","Composting and digestion","Kilograms per capita","13",""
"2011","Greece","Composting and digestion","Kilograms per capita","14",""
"2012","Greece","Composting and digestion","Kilograms per capita","16",""
"2013","Greece","Composting and digestion","Kilograms per capita","17",""
"2014","Greece","Composting and digestion","Kilograms per capita","15",""
"2015","Greece","Composting and digestion","Kilograms per capita","12",""
"2005","Spain","Composting and digestion","Kilograms per capita","100",""
"2006","Spain","Composting and digestion","Kilograms per capita","102",""
"2007","Spain","Composting and digestion","Kilograms per capita","99",""
"2008","Spain","Composting and digestion","Kilograms per capita","134",""
"2009","Spain","Composting and digestion","Kilograms per capita","97",""
"2010","Spain","Composting and digestion","Kilograms per capita","59",""
"2011","Spain","Composting and digestion","Kilograms per capita","49",""
"2012","Spain","Composting and digestion","Kilograms per capita","48",""
"2013","Spain","Composting and digestion","Kilograms per capita","77",""
"2014","Spain","Composting and digestion","Kilograms per capita","62",""
"2015","Spain","Composting and digestion","Kilograms per capita","71","e"
"2005","European Union (28 countries)","Composting and digestion","Kilograms per capita",":",""
"2006","European Union (28 countries)","Composting and digestion","Kilograms per capita",":",""
"2007","European Union (28 countries)","Composting and digestion","Kilograms per capita","64","s"
"2008","European Union (28 countries)","Composting and digestion","Kilograms per capita","70","s"
"2009","European Union (28 countries)","Composting and digestion","Kilograms per capita","69","s"
"2010","European Union (28 countries)","Composting and digestion","Kilograms per capita","69",""
"2011","European Union (28 countries)","Composting and digestion","Kilograms per capita","69","s"
"2012","European Union (28 countries)","Composting and digestion","Kilograms per capita","71","s"
"2013","European Union (28 countries)","Composting and digestion","Kilograms per capita","74","s"
"2014","European Union (28 countries)","Composting and digestion","Kilograms per capita","75","s"
"2015","European Union (28 countries)","Composting and digestion","Kilograms per capita","78","s"
"2005","Finland","Composting and digestion","Kilograms per capita","36",""
"2006","Finland","Composting and digestion","Kilograms per capita","37",""
"2007","Finland","Composting and digestion","Kilograms per capita","49",""
"2008","Finland","Composting and digestion","Kilograms per capita","44",""
"2009","Finland","Composting and digestion","Kilograms per capita","57",""
"2010","Finland","Composting and digestion","Kilograms per capita","62",""
"2011","Finland","Composting and digestion","Kilograms per capita","66",""
"2012","Finland","Composting and digestion","Kilograms per capita","60",""
"2013","Finland","Composting and digestion","Kilograms per capita","67",""
"2014","Finland","Composting and digestion","Kilograms per capita","70",""
"2015","Finland","Composting and digestion","Kilograms per capita","62",""
"2005","France","Composting and digestion","Kilograms per capita","72",""
"2006","France","Composting and digestion","Kilograms per capita","75",""
"2007","France","Composting and digestion","Kilograms per capita","80",""
"2008","France","Composting and digestion","Kilograms per capita","87",""
"2009","France","Composting and digestion","Kilograms per capita","89",""
"2010","France","Composting and digestion","Kilograms per capita","91",""
"2011","France","Composting and digestion","Kilograms per capita","88",""
"2012","France","Composting and digestion","Kilograms per capita","87",""
"2013","France","Composting and digestion","Kilograms per capita","88",""
"2014","France","Composting and digestion","Kilograms per capita","87","e"
"2015","France","Composting and digestion","Kilograms per capita","87","e"
"2005","Croatia","Composting and digestion","Kilograms per capita",":",""
"2006","Croatia","Composting and digestion","Kilograms per capita",":",""
"2007","Croatia","Composting and digestion","Kilograms per capita","4",""
"2008","Croatia","Composting and digestion","Kilograms per capita","3",""
"2009","Croatia","Composting and digestion","Kilograms per capita","3",""
"2010","Croatia","Composting and digestion","Kilograms per capita","3",""
"2011","Croatia","Composting and digestion","Kilograms per capita","3",""
"2012","Croatia","Composting and digestion","Kilograms per capita","6",""
"2013","Croatia","Composting and digestion","Kilograms per capita","7",""
"2014","Croatia","Composting and digestion","Kilograms per capita","8",""
"2015","Croatia","Composting and digestion","Kilograms per capita","7",""
"2005","Hungary","Composting and digestion","Kilograms per capita","4",""
"2006","Hungary","Composting and digestion","Kilograms per capita","6",""
"2007","Hungary","Composting and digestion","Kilograms per capita","6",""
"2008","Hungary","Composting and digestion","Kilograms per capita","8",""
"2009","Hungary","Composting and digestion","Kilograms per capita","9",""
"2010","Hungary","Composting and digestion","Kilograms per capita","15",""
"2011","Hungary","Composting and digestion","Kilograms per capita","18",""
"2012","Hungary","Composting and digestion","Kilograms per capita","18",""
"2013","Hungary","Composting and digestion","Kilograms per capita","19",""
"2014","Hungary","Composting and digestion","Kilograms per capita","24",""
"2015","Hungary","Composting and digestion","Kilograms per capita","23",""
"2005","Ireland","Composting and digestion","Kilograms per capita","12",""
"2006","Ireland","Composting and digestion","Kilograms per capita","13",""
"2007","Ireland","Composting and digestion","Kilograms per capita","18",""
"2008","Ireland","Composting and digestion","Kilograms per capita","24",""
"2009","Ireland","Composting and digestion","Kilograms per capita","19",""
"2010","Ireland","Composting and digestion","Kilograms per capita","23",""
"2011","Ireland","Composting and digestion","Kilograms per capita","34",""
"2012","Ireland","Composting and digestion","Kilograms per capita","34",""
"2013","Ireland","Composting and digestion","Kilograms per capita",":",""
"2014","Ireland","Composting and digestion","Kilograms per capita",":",""
"2015","Ireland","Composting and digestion","Kilograms per capita",":",""
"2005","Iceland","Composting and digestion","Kilograms per capita",":",""
"2006","Iceland","Composting and digestion","Kilograms per capita",":",""
"2007","Iceland","Composting and digestion","Kilograms per capita",":",""
"2008","Iceland","Composting and digestion","Kilograms per capita","13",""
"2009","Iceland","Composting and digestion","Kilograms per capita","19",""
"2010","Iceland","Composting and digestion","Kilograms per capita","25",""
"2011","Iceland","Composting and digestion","Kilograms per capita","25",""
"2012","Iceland","Composting and digestion","Kilograms per capita","22",""
"2013","Iceland","Composting and digestion","Kilograms per capita","25",""
"2014","Iceland","Composting and digestion","Kilograms per capita","46",""
"2015","Iceland","Composting and digestion","Kilograms per capita","42",""
"2005","Italy","Composting and digestion","Kilograms per capita","38",""
"2006","Italy","Composting and digestion","Kilograms per capita","42",""
"2007","Italy","Composting and digestion","Kilograms per capita","44",""
"2008","Italy","Composting and digestion","Kilograms per capita","53",""
"2009","Italy","Composting and digestion","Kilograms per capita","59",""
"2010","Italy","Composting and digestion","Kilograms per capita","67",""
"2011","Italy","Composting and digestion","Kilograms per capita","67",""
"2012","Italy","Composting and digestion","Kilograms per capita","73",""
"2013","Italy","Composting and digestion","Kilograms per capita","72",""
"2014","Italy","Composting and digestion","Kilograms per capita","80",""
"2015","Italy","Composting and digestion","Kilograms per capita","86",""
"2005","Lithuania","Composting and digestion","Kilograms per capita","3","s"
"2006","Lithuania","Composting and digestion","Kilograms per capita","3","s"
"2007","Lithuania","Composting and digestion","Kilograms per capita","7",""
"2008","Lithuania","Composting and digestion","Kilograms per capita","5",""
"2009","Lithuania","Composting and digestion","Kilograms per capita","5",""
"2010","Lithuania","Composting and digestion","Kilograms per capita","6",""
"2011","Lithuania","Composting and digestion","Kilograms per capita","8",""
"2012","Lithuania","Composting and digestion","Kilograms per capita","17",""
"2013","Lithuania","Composting and digestion","Kilograms per capita","32",""
"2014","Lithuania","Composting and digestion","Kilograms per capita","41",""
"2015","Lithuania","Composting and digestion","Kilograms per capita","46",""
"2005","Luxembourg","Composting and digestion","Kilograms per capita","121",""
"2006","Luxembourg","Composting and digestion","Kilograms per capita","121",""
"2007","Luxembourg","Composting and digestion","Kilograms per capita","134",""
"2008","Luxembourg","Composting and digestion","Kilograms per capita","138",""
"2009","Luxembourg","Composting and digestion","Kilograms per capita","135",""
"2010","Luxembourg","Composting and digestion","Kilograms per capita","133",""
"2011","Luxembourg","Composting and digestion","Kilograms per capita","120",""
"2012","Luxembourg","Composting and digestion","Kilograms per capita","128",""
"2013","Luxembourg","Composting and digestion","Kilograms per capita","111",""
"2014","Luxembourg","Composting and digestion","Kilograms per capita","121",""
"2015","Luxembourg","Composting and digestion","Kilograms per capita","124","e"
"2005","Latvia","Composting and digestion","Kilograms per capita","1",""
"2006","Latvia","Composting and digestion","Kilograms per capita","2",""
"2007","Latvia","Composting and digestion","Kilograms per capita","2",""
"2008","Latvia","Composting and digestion","Kilograms per capita","3",""
"2009","Latvia","Composting and digestion","Kilograms per capita","1",""
"2010","Latvia","Composting and digestion","Kilograms per capita","2",""
"2011","Latvia","Composting and digestion","Kilograms per capita","4",""
"2012","Latvia","Composting and digestion","Kilograms per capita","6",""
"2013","Latvia","Composting and digestion","Kilograms per capita","20",""
"2014","Latvia","Composting and digestion","Kilograms per capita","13",""
"2015","Latvia","Composting and digestion","Kilograms per capita","24",""
"2005","Montenegro","Composting and digestion","Kilograms per capita",":",""
"2006","Montenegro","Composting and digestion","Kilograms per capita",":",""
"2007","Montenegro","Composting and digestion","Kilograms per capita",":",""
"2008","Montenegro","Composting and digestion","Kilograms per capita",":",""
"2009","Montenegro","Composting and digestion","Kilograms per capita",":",""
"2010","Montenegro","Composting and digestion","Kilograms per capita",":",""
"2011","Montenegro","Composting and digestion","Kilograms per capita","0",""
"2012","Montenegro","Composting and digestion","Kilograms per capita","0",""
"2013","Montenegro","Composting and digestion","Kilograms per capita","0",""
"2014","Montenegro","Composting and digestion","Kilograms per capita","0",""
"2015","Montenegro","Composting and digestion","Kilograms per capita","0",""
"2005","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
"2006","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita","0",""
"2009","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
"2010","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
"2011","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita","0",""
"2012","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
