"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2012","Czech Republic","Landfill / disposal (D1-D7, D12)","Kilograms per capita","174","e"
"2013","Czech Republic","Landfill / disposal (D1-D7, D12)","Kilograms per capita","173","e"
"2014","Czech Republic","Landfill / disposal (D1-D7, D12)","Kilograms per capita","174","e"
"2015","Czech Republic","Landfill / disposal (D1-D7, D12)","Kilograms per capita","166","e"
"2005","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","48",""
"2006","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","4",""
"2007","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","4",""
"2008","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","3",""
"2009","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","2",""
"2010","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","3",""
"2011","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","3",""
"2012","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","1",""
"2013","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","2",""
"2014","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","2",""
"2015","Germany (until 1990 former territory of the FRG)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","1","e"
"2005","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","38",""
"2006","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","37",""
"2007","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","37",""
"2008","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","32",""
"2009","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","24","e"
"2010","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2011","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","20",""
"2012","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","19",""
"2013","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","14",""
"2014","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","10",""
"2015","Denmark","Landfill / disposal (D1-D7, D12)","Kilograms per capita","9",""
"2005","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","273",""
"2006","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","277",""
"2007","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","291",""
"2008","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","249",""
"2009","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","215",""
"2010","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","201",""
"2011","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","180",""
"2012","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","98",""
"2013","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","40",""
"2014","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","23",""
"2015","Estonia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","26",""
"2005","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","391",""
"2006","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","390",""
"2007","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","362",""
"2008","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","377",""
"2009","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","376",""
"2010","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","441",""
"2011","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","412",""
"2012","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","408",""
"2013","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","403",""
"2014","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","410",""
"2015","Greece","Landfill / disposal (D1-D7, D12)","Kilograms per capita","409",""
"2005","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","288",""
"2006","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","353",""
"2007","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","344",""
"2008","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","285",""
"2009","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","314",""
"2010","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","318",""
"2011","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","305",""
"2012","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","284",""
"2013","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","253",""
"2014","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","259",""
"2015","Spain","Landfill / disposal (D1-D7, D12)","Kilograms per capita","239","e"
"2005","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2006","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","220","s"
"2007","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","215","s"
"2008","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","201","s"
"2009","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","194","s"
"2010","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","185",""
"2011","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","170","s"
"2012","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","154","s"
"2013","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","142","s"
"2014","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","133","s"
"2015","European Union (28 countries)","Landfill / disposal (D1-D7, D12)","Kilograms per capita","122","s"
"2005","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","282",""
"2006","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","286",""
"2007","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","267",""
"2008","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","265",""
"2009","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","221",""
"2010","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","212",""
"2011","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","203",""
"2012","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","166",""
"2013","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","124",""
"2014","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","84",""
"2015","Finland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","57",""
"2005","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","182",""
"2006","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","194",""
"2007","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","194",""
"2008","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","171",""
"2009","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","167",""
"2010","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","166",""
"2011","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","149",""
"2012","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","139",""
"2013","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","133",""
"2014","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","131","e"
"2015","France","Landfill / disposal (D1-D7, D12)","Kilograms per capita","129","e"
"2005","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2006","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","283",""
"2007","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","382",""
"2008","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","401",""
"2009","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","393",""
"2010","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","358",""
"2011","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","349",""
"2012","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","323",""
"2013","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","332",""
"2014","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","309",""
"2015","Croatia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","313",""
"2005","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","383",""
"2006","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","377",""
"2007","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","341",""
"2008","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","333",""
"2009","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","320",""
"2010","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","284",""
"2011","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","257",""
"2012","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","263",""
"2013","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","244",""
"2014","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","221",""
"2015","Hungary","Landfill / disposal (D1-D7, D12)","Kilograms per capita","202",""
"2005","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","441",""
"2006","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","464",""
"2007","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","458",""
"2008","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","432",""
"2009","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","380",""
"2010","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","328",""
"2011","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","294",""
"2012","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","224",""
"2013","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2014","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2015","Ireland","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2005","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","364",""
"2006","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","385",""
"2007","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","376",""
"2008","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","488",""
"2009","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","295",""
"2010","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","346",""
"2011","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","339",""
"2012","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","343",""
"2013","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","340",""
