"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2007","Estonia","Material recycling","Kilograms per capita","91",""
"2008","Estonia","Material recycling","Kilograms per capita","58",""
"2009","Estonia","Material recycling","Kilograms per capita","39",""
"2010","Estonia","Material recycling","Kilograms per capita","31",""
"2011","Estonia","Material recycling","Kilograms per capita","44",""
"2012","Estonia","Material recycling","Kilograms per capita","40",""
"2013","Estonia","Material recycling","Kilograms per capita","37",""
"2014","Estonia","Material recycling","Kilograms per capita","95",""
"2015","Estonia","Material recycling","Kilograms per capita","89",""
"2005","Greece","Material recycling","Kilograms per capita","49",""
"2006","Greece","Material recycling","Kilograms per capita","50",""
"2007","Greece","Material recycling","Kilograms per capita","82",""
"2008","Greece","Material recycling","Kilograms per capita","72",""
"2009","Greece","Material recycling","Kilograms per capita","84",""
"2010","Greece","Material recycling","Kilograms per capita","78",""
"2011","Greece","Material recycling","Kilograms per capita","75",""
"2012","Greece","Material recycling","Kilograms per capita","68",""
"2013","Greece","Material recycling","Kilograms per capita","59",""
"2014","Greece","Material recycling","Kilograms per capita","60",""
"2015","Greece","Material recycling","Kilograms per capita","62",""
"2005","Spain","Material recycling","Kilograms per capita","84",""
"2006","Spain","Material recycling","Kilograms per capita","82",""
"2007","Spain","Material recycling","Kilograms per capita","77",""
"2008","Spain","Material recycling","Kilograms per capita","85",""
"2009","Spain","Material recycling","Kilograms per capita","82",""
"2010","Spain","Material recycling","Kilograms per capita","90",""
"2011","Spain","Material recycling","Kilograms per capita","81",""
"2012","Spain","Material recycling","Kilograms per capita","91",""
"2013","Spain","Material recycling","Kilograms per capita","70",""
"2014","Spain","Material recycling","Kilograms per capita","76",""
"2015","Spain","Material recycling","Kilograms per capita","73","e"
"2005","European Union (28 countries)","Material recycling","Kilograms per capita",":",""
"2006","European Union (28 countries)","Material recycling","Kilograms per capita",":",""
"2007","European Union (28 countries)","Material recycling","Kilograms per capita","119","s"
"2008","European Union (28 countries)","Material recycling","Kilograms per capita","120","s"
"2009","European Union (28 countries)","Material recycling","Kilograms per capita","122","s"
"2010","European Union (28 countries)","Material recycling","Kilograms per capita","124",""
"2011","European Union (28 countries)","Material recycling","Kilograms per capita","128","s"
"2012","European Union (28 countries)","Material recycling","Kilograms per capita","130","s"
"2013","European Union (28 countries)","Material recycling","Kilograms per capita","128","s"
"2014","European Union (28 countries)","Material recycling","Kilograms per capita","134","s"
"2015","European Union (28 countries)","Material recycling","Kilograms per capita","136","s"
"2005","Finland","Material recycling","Kilograms per capita","124",""
"2006","Finland","Material recycling","Kilograms per capita","129",""
"2007","Finland","Material recycling","Kilograms per capita","131",""
"2008","Finland","Material recycling","Kilograms per capita","134",""
"2009","Finland","Material recycling","Kilograms per capita","115",""
"2010","Finland","Material recycling","Kilograms per capita","92",""
"2011","Finland","Material recycling","Kilograms per capita","110",""
"2012","Finland","Material recycling","Kilograms per capita","109",""
"2013","Finland","Material recycling","Kilograms per capita","94",""
"2014","Finland","Material recycling","Kilograms per capita","87",""
"2015","Finland","Material recycling","Kilograms per capita","141",""
"2005","France","Material recycling","Kilograms per capita","85",""
"2006","France","Material recycling","Kilograms per capita","89",""
"2007","France","Material recycling","Kilograms per capita","93",""
"2008","France","Material recycling","Kilograms per capita","93",""
"2009","France","Material recycling","Kilograms per capita","93",""
"2010","France","Material recycling","Kilograms per capita","95",""
